Treatments,Time,G,A,GG,AA,GA/AG (AAA),GGA/AGG/GAG,GGG,GGGG,AAG/AGA,AAA
100-0,0,0.082663211,0,0.000363199,0,2.32E-06,0,2.82E-06,0,0,0
100-0,1,0.071499335,0,0.008595579,0,0,0,0.000595488,0.00035823,0,0
100-0,2,0.076133064,0,0.008885998,0,4.42E-06,0,0.000627424,0.000456059,0,0
100-0,3,0.074939336,0,0.008037485,0,4.44E-06,0,0.000609924,0.00042283,0,0
100-0,4,0.073287239,0,0.007187897,0,7.19E-06,0,0.000530776,0.00035638,0,0
90-10,0,0.082374703,0.008453495,0.001210558,0,6.50E-06,0,3.27E-06,0,0,0
90-10,1,0.069545293,0.007881244,0.007611814,1.22E-05,0.000879509,5.10E-05,0.000470041,0.000264338,7.34E-04,0.00E+00
90-10,2,0.072479358,0.008095775,0.007495306,6.74E-06,0.000856088,6.21E-05,0.000489522,0.000327369,6.42E-04,0.00E+00
90-10,3,0.069039271,0.007414253,0.00589378,6.18E-06,0.000754951,5.97E-05,0.00043586,0.000286921,7.67E-04,0.00E+00
90-10,4,0.071805041,0.007695265,0.005929611,6.63E-06,0.000764805,6.53E-05,0.00045292,0.000278647,7.07E-04,0.00E+00
75-25,0,0.076322215,0.021243644,0.001216953,0,7.74E-06,0,2.17E-06,0,0,0
75-25,1,0.063913866,0.019594671,0.005735305,5.64E-05,0.001860402,9.79E-05,0.000291708,0.000141581,0.001285869,0.00E+00
75-25,2,0.062995578,0.018703192,0.005369734,4.08E-05,0.001668594,0.00010939,0.000275163,0.00017887,0.000907507,0.00E+00
75-25,3,0.064404395,0.019433861,0.00454249,4.14E-05,0.001615485,0.000116613,0.000250261,0.000175384,0.000808874,0.00E+00
75-25,4,0.062549637,0.018268735,0.004139057,3.90E-05,0.001502454,0.000111585,0.000260257,0.000148321,0.000780331,0.00E+00
50-50,0,0.059026659,0.048582262,0.000243947,0,1.60E-06,0,1.66E-06,0,0,0
50-50,1,0.04418496,0.050295432,0.002732428,0.000235952,0.002599588,9.14E-05,9.65E-05,4.33E-05,0.002056498,0
50-50,2,0.044515352,0.049960713,0.002629966,0.000139755,0.002428835,9.55E-05,8.67E-05,5.18E-05,0.001672287,0
50-50,3,0.042385421,0.048051484,0.002421865,8.86E-05,0.00225971,9.95E-05,8.15E-05,5.05E-05,0.001495147,0
50-50,4,0.041280195,0.046323047,0.002263995,6.62E-05,0.002030738,9.18E-05,7.05E-05,4.18E-05,0.001434112,0
25-75,0,0.026001073,0.069519504,0.001223389,0,0,0,1.65E-06,0,0,0
25-75,1,0.018220362,0.065131793,0.000789223,0.000604973,0.002102814,3.88E-05,1.57E-05,1.98E-06,0.003465498,0
25-75,2,0.018903146,0.065986617,0.000766652,0.000354144,0.002002472,3.74E-05,1.33E-05,2.90E-06,0.00251339,0
25-75,3,0.018605506,0.065163835,0.000744327,0.000212164,0.001780947,3.58E-05,1.17E-05,4.07E-06,0.000495837,0
25-75,4,0.019117016,0.065860599,0.000731791,0.00017142,0.001785485,3.49E-05,1.11E-05,1.87E-06,0.000459287,0
Oct-90,0,0.010417834,0.075303589,0.001199466,0,0,0,0,0,0,0
Oct-90,1,0.007378571,0.071076178,8.18E-05,0.001018574,0.001073501,8.23E-06,0.00E+00,0.00E+00,0.003705044,0
Oct-90,2,0.007879774,0.072614866,0.000119287,0.00056577,0.001038971,8.49E-06,0.00E+00,0.00E+00,0.003515705,0
Oct-90,3,0.007886467,0.072303087,0.000131925,0.000348877,0.000987075,7.45E-06,1.53E-07,0.00E+00,0.000700508,0
Oct-90,4,0.008047282,0.072499521,0.00014185,0.000269159,0.000981428,6.84E-06,0.00E+00,0.00E+00,0.000617365,0
0-100,0,5.92E-05,0.076367538,0.000380234,0,0,0,0,0,0,0
0-100,1,0.000145668,0.075162246,0.000419522,0.001392694,0,0,0,0,0,2.39E-05
0-100,2,0.000138121,0.076244354,0.000415965,0.000960857,0,0,0,0,0,1.97E-05
0-100,3,0.000111312,0.075892379,0.000392175,0.000636314,0,0,1.60E-06,5.80E-06,0,1.62E-05
0-100,4,0.00015835,0.075303165,0.000405371,0.000449386,0,0,0,0,0,1.24E-05
100-100,0,0.114242346,0.110339477,0.000328302,2.23E-07,2.12E-05,2.71E-05,4.06E-06,0,1.85E-05,0
100-100,1,0.084450629,0.100731749,0.003546631,0.000290123,0.003336613,0.000250871,0.000211677,4.40E-05,0.00033601,0
100-100,2,0.076157623,0.091649642,0.003259376,0.000209375,0.002908336,0.000223132,0.000160847,3.48E-05,0.00038036,0
100-100,3,0.08417664,0.098807071,0.003464539,0.000231137,0.003059402,0.000200125,0.000147843,4.82E-05,0.000480737,0
100-100,4,0.085001559,0.098791822,0.003519934,0.000215944,0.003099058,0.000183608,0.000122322,4.61E-05,0.000993905,0
100-70,0,0.11480036,0.076211597,0.000324033,0,1.71E-05,0,1.36E-05,0,5.22E-05,0
100-70,1,0.07576661,0.055856541,0.004144386,0.00021371,0.002948015,0.000246024,0.000254122,6.40E-05,0.000430622,0
100-70,2,0.069127716,0.052586579,0.00382624,0.000175534,0.00258733,0.000212581,0.000203533,5.95E-05,0.000376387,0
100-70,3,0.079855276,0.056731163,0.00421024,0.000168572,0.002760206,0.000205882,0.000203454,8.03E-05,0.000403102,0
100-70,4,0.079050899,0.056689408,0.004018544,0.000131159,0.00274661,0.000197584,0.000167134,6.57E-05,0.000436959,0
70-100,0,0.073443558,0.108469809,0.000324463,0,1.28E-05,0,1.36E-05,0,1.70E-05,0
70-100,1,0.049870312,0.098369721,0.002423133,0.000433832,0.003217097,0.000205409,0.000112255,1.46E-05,0.000625768,0
70-100,2,0.047637613,0.091105188,0.00227836,0.000273478,0.002883508,0.00017432,8.80E-05,1.81E-05,0.000566635,0
70-100,3,0.049472763,0.094909912,0.002464036,0.000187921,0.002963782,0.000169204,7.53E-05,9.01E-06,0.000378849,0
70-100,4,0.049908582,0.094161939,0.002404837,0.000160383,0.002871681,0.000157768,6.85E-05,1.33E-05,0.000364041,0
100-50,0,0.084555343,0.03620952,0.000268887,2.43E-06,5.08E-05,4.76E-05,1.18E-05,3.83E-05,7.92E-05,0
100-50,1,0.077635955,0.03629824,0.005094796,0.000120934,0.002642446,0.000222608,0.000352997,0.000128438,0.000478945,0
100-50,2,0.074100748,0.037533258,0.004624399,9.18E-05,0.002409345,0.000186396,0.000265474,0.000113223,0.000503101,0
100-50,3,0.079655759,0.038186783,0.004570554,9.46E-05,0.00235502,0.000187008,0.000239195,0.000107723,0.000557799,0
100-50,4,0.080859556,0.039983637,0.004369762,0.000109839,0.002324028,0.00017675,0.000209546,0.000114936,0.000473924,0
90-90,0,0.080965971,0.093958073,0.00025277,1.15E-05,7.38E-05,4.74E-05,1.17E-05,3.61E-05,8.17E-05,0
90-90,1,0.074259711,0.087514394,0.003384891,0.000261026,0.003470891,0.000249793,0.000213112,4.54E-05,0.000507208,0
90-90,2,0.06515269,0.078962533,0.003053734,0.000183019,0.002963756,0.000220163,0.000161556,5.36E-05,0.000418678,0
90-90,3,0.078758321,0.091334293,0.003212996,0.000236652,0.003065102,0.000207801,0.000136687,4.91E-05,0.000433864,0
90-90,4,0.072534459,0.084794995,0.002950839,0.000194213,0.002896959,0.000190555,0.000114056,5.56E-05,0.000333487,0
50-100,0,0.050218791,0.111656077,0.000154372,4.66E-06,1.14E-05,5.18E-05,1.73E-05,4.22E-06,7.74E-05,0
50-100,1,0.035759099,0.097933358,0.001646957,0.000478692,0.003005267,0.000151881,6.42E-05,2.08E-05,0.000155159,0
50-100,2,0.033051449,0.084964897,0.001468989,0.000246532,0.002550979,0.000110644,4.69E-05,2.87E-05,0.000176597,0
50-100,3,0.035334477,0.095097534,0.001410498,0.000202784,0.002421317,0.000102898,3.37E-05,3.49E-05,0.000225981,0
50-100,4,0.039011927,0.103351729,0.001475452,0.000186672,0.002684062,0.000117176,3.60E-05,4.51E-05,0.00020263,0
50-0,0,0.052783331,0.001880613,0.0000256,0,0.0000063,0,0.00000602,0,0,0
50-0,1,0.050187576,0.0000641,0.005507521,0,0,0,0.000418802,0.000152734,0,0
50-0,2,0.04628199,0.0000165,0.004835339,0,0,0,0.000330327,0.000130006,0,0
50-0,3,0.055679552,0.0000449,0.004982909,0,0.0000118,0,0.000348637,0.000129692,0,0
50-0,4,0.049872103,0.0000246,0.004144313,0,0.00000144,0,0.000189806,0.0000754,0,0
0-50,0,0.000118856,0.053404214,0,0.0000236,0,0.00000633,0.00000518,0,0,0.0000164
0-50,1,0.0000382,0.056478345,0,0.002662565,0,0,0.00000614,0,0,0.0000553
0-50,2,0.000244189,0.079847182,0.00000325,0.003807064,0,0.00000442,0.00000536,0,0,0.000061
0-50,3,0.0000632,0.088361516,0,0.003580148,0,0,0.00000417,0.00000482,0,0.0000486
0-50,4,0.0000195,0.070386608,0.0000026,0.002068302,0,0.0000177,0.0000047,0,0,0.0000302
25-25,0,0.026387759,0.026114079,0.0000102,0,0.0000085,0,0.00000527,0,0,0
25-25,1,0.018676927,0.021563551,0.001375593,0.000480087,0.000818427,0.00016104,0.0000503,0.0000151,0.000125471,0
25-25,2,0.028594796,0.036124804,0.001587939,0.001035122,0.001413189,0.000294769,0.0000688,0.0000196,0.000145597,0
25-25,3,0.030899702,0.039209624,0.001673784,0.001056015,0.001489807,0.00027921,0.0000519,0.000018,0.000145481,0
25-25,4,0.027861998,0.033510115,0.001385875,0.00070095,0.001129296,0.000180689,0.0000414,0.0000115,0.000113383,0
